text,text_english
pak anies akan sll dukung bapak lama sikap bapak ini proud,"Mr Anies will always support you for a long time, your attitude is proud"
mashaallah abah,"Thank God, Dad"
sini nyimak kalo ridwan kamil pikir bicara semua fokus menangtapi pak anis sangat hebat bicara tpi pikir main catur buruk jdi simpul apa,"Listen here, Ridwan Kamil thinks and talks and focuses on winning, but Mr. Anis is very good at talking but thinks and plays chess badly, so what's the point?"
aneh pilih kemaren masak kampung gua kalau nggk milih nggk beras,"It's strange that I chose to cook in my village yesterday, if I didn't choose it, there wouldn't be rice"
pak anis sama ridwan kamil itu cerdas layak pilih cuma ridwan kamil sekarang masuk partai cari aman,"Mr. Anis and Ridwan Kamil are both intelligent and worthy of being chosen, but Ridwan Kamil has now joined a party to play it safe."
kalo pas rangkai pilpres kemarin sesi dialog main catur ky gin kira siapa paling planga plongo,"When the presidential election was scheduled yesterday, there was a dialogue session playing chess, Guess who was the most forward-thinking"
lihat komentar ko positive semua,see the comments are all positive
keren emg abah anies sehat terus bah,"It's really cool, Abah Anies, stay healthy, bro"
href quotkita kadangkadang harap kalau orang bantu sampai bangkrutquotbrbrthank you for saying this pak sangat tuju,href quotwe sometimes hope that people will help us until we go bankruptquotbrbrthank you for saying this sir very much
sedih mayoritas gen kawan umur produktif indonesia suka nonton konten yang penting joget oke gas khawatir besok akan jadi apa atau bahkan negara bukan gw julid iya iya gitulah banyak jangan heran data guna pinjol gagal bayar judi online lonjak terus di indonesia suraammm,"sad, the majority of productive age Indonesian friends like to watch content, the important thing is to dance, okay, I'm worried about what will happen tomorrow or even the country, I'm not a gossip, yes, yes, there are many, don't be surprised, the data for online gambling loans that fail to pay continues to soar in Indonesia, sad"
simak obrol pak anies emng total awal benar habis episode krna obrol beliau makin ujung makin isi,"Listen to Mr. Anies' chat, it's true that the beginning of the episode ends because the more his chat ends, the more content it gets"
respect,respect
bagi pojok bawah video beri gambar catur d orang lihat langkah nya,for the bottom corner of the video give a chess picture for people to see the steps
href cara orang cerdas sindir ada,href how smart people are sarcastic there is
partai bagi instrumen demokrasi negara biaya negara akan lebih mandiri intervensi kelass,party for the instrument of state democracy state costs will be more independent class intervention
prabowo yang lebih baik pilih pak aniesalhamdulilah tidak pernah salah pilih jalan akal sehat saya,"Prabowo, it's better to choose Mr. Anies, thank God I never made a mistake in choosing the path of common sense"
gw pgn banget indonesia pimpin pak anies beliau gw orang hebat cerdas tapi yaa apa daya orangquot lebih percaya orang tegas orang cerdas beliau moga pilpres akan datang beliau maju jadi calon,"I really want Indonesia to lead Mr. Anies, I'm a great, intelligent person, but what can people do? I trust more decisive people, intelligent people, I hope the presidential election will come, he'll run as a candidate."
bang paji tegas katakatanyasaya suka tanya masalah rumah brdp tanya,"Bang Paji said firmly, I like to ask about house problems, ask again"
ayo anies semangat,"Come on Anies, keep up the spirit"
membangung imunitas rakyat jumlah ratus juta susah minta ampunbrmenginginkan sadar laku politik henti moneypolitik curang ada ribu laku politikbryang kita laku awas penegaknhukum biar jalan bagaimana mesti,"Building the immunity of the people in the hundreds of millions is very difficult, wanting to be aware of political behavior, stop cheating money politics, there are thousands of political behaviors that we do, be careful with law enforcement, so that it can run smoothly, how must it be?"
curang to be continue,cheat to be continued
beli tiket bangboleh kasih website caption kayak lebih enak,"buy a ticket, bang, give the website a caption like it's better"
peran rakyat senjutnya yaaa lain monitoring program pemerintahmenikmati janjijanji perintah kampanye tuntas ringan beban hidup makin berat rakyat jelata suara pakai menang,"The next role of the people is monitoring government programs, enjoying the promises of campaign orders, completing them lightly, the burden of life becomes heavier, the common people use their votes to win"
kek nya main catur kurang cocok deh ngbrol mungkin gnti tema dmm catur muter otak tp sni ngbrol serius jd fokuspak anis byk potong efek suruh jalan jalan,"It seems like playing chess is not suitable for chatting, maybe change the theme, chess is a brain game, but here we are chatting seriously so we can focus, Mr. Anis, there is a lot of cutting off the effect of telling me to go for a walk"
obrol berat main catur nyala otak wkwkwk,heavy chat playing chess lights up the brain hahaha
nik lagu sebut quotin the end were only regret the chances we didnt takequot entah saya rasa indonesia lewat sempat besar pimpin orang anies,Nik song mentions quotin the end were only regret the chances we didnt takequot I don't know I think Indonesia has had a great time led by Anies
indonesia menyianyiakan orang cerdas pak anies,"Indonesia is wasting intelligent people, Mr. Anies"
hokage gmna nih klo ajak main catur di tanya wkwkwk,What about the Hokage if you ask me to play chess hahaha
undang si ahok lah bang,invite Ahok bro
dulu emang bang panji selalu bilang akan hipnotis bicara pak anies,"In the past, Bang Panji always said that he would hypnotize Mr. Anies' speech"
,
href epic moment,href epic moment
bang zoom dikit tuh kamera atas nya biar lebih liat anak catur nya,"Bro, zoom in a little on the top camera so you can see the chess kids better"
dri bagaimana cara anies dapat soal surya paloh gw rasa tuh butuh pikir terima luas sesuatu tidak sesuai harap dan gw ajar bgmna perlu posisi diri orang belum kita men judge orang,"From how Anies got the Surya Paloh question, I think it takes a lot of thought to accept something that is not as expected and I teach how to position ourselves before we judge people."
anies ahok,anies ahok
beda orang bener punya jiwa leader bukan dealer,"Different people really have the soul of a leader, not a dealer"
thumbnailnya mirip yang pertama jadi views sedikit beda dong,The thumbnail is similar to the first one so the views are a little different
who you are what your values are what you stand for they are your anchor your north star you wont find them in book youll find them in your soul mulai menit href,who you are what your values ​​are what you stand for they are your anchor your north star you wont find them in book youll find them in your soul starting minute href
bang kerenn cuman kasih gelas atas meja mau air nya gak biar liat kosong bgt meja,"Bro, it's cool, just give me a glass on the table so I don't see the table so empty"
obrol daging semua,all meat chat
milu rupa ajar pak anies rakyat indonesia cerdas milu rakyat indonesia inshaaallaah cerdas inshaaallaah anies jadi presiden ri,milu rupa teach pak anies smart indonesian people milu indonesian people inshallah smart inshallah anies will become president of ri
orang jujur,honest person
klu pak anis ty jawab nya rinci jelasbeda jokowi klu ty jawab cuma ty sama py urusanngg tau kok ty sayadisini bisa lihat pintar rasa tanggung jawab etika orang pimpin,"If Mr. Anis answers in detail, it's clear. It's different from Jokowi. If you answer, it's just that you and PY don't know about it. Here, I can see that people here are smart, have a sense of responsibility and are ethical leaders."
bravo anis,hello anise
gila pikir pak anies baswedan daging semua,"Mr Anies Baswedan thinks it's crazy, it's all meat"
kalau usul program skakmat jangan maen catur catur jadi background cukup pajang,"If you propose a checkmate program, don't play chess, so the background is pretty impressive"
daging,meat
anis lah pilih hancur politik dinasti iya allah pak anis paling nanti,"Anis, choose to destroy dynastic politics, oh my God, Mr. Anis, at the very least"
stand with anies baswedan,stand with anies baswedan
pak anies baswedan,Mr Anies Baswedan
anis pada bicara gak pada kerja,Anis is talking but not working
oot gw malah fokus opening move catur href,oot I'm actually focusing on the chess opening move href
pak anis memang mantap,Mr. Anis is really great
saya soal gagal partaipartai bina kader jadi eksekutif benar sederhana satu masalah penting pengaruh masyarakat sangat populis orangorang pilih populer saat pilih orang jatuh kenal peduli rekam jejak gimana kompetensi apa peduli backgroundnya apa alas quotyang penting kerjaquot belum paham cukup asal kerja kata buya hamka kalau kerja iya kera kerja apa beda orang kera kalau beda letak orang kompeten kerja bagi besar masyarakat masih tidak ngerti makanya hanya akan buai jalan tol blt bansos jabat masuk goronggorong kunjung bagai akhir partaipartai hanya penting elektabilitas lembaga survey jadi alat buat pengaruh opini publik tingkat elektabilitas makanya banyak survey pesan mau kompeten tidak peduli karena kalau elektabilitas tinggi partai menang partai nikmat tampuk kuasa masalah bangun negeri belakang partai jadi tidak lagi penting bina kader kualitas dan promosi ke masyarakat luas partai sendiri jarang sekali terjun langsung hari masayarakat makanya umum tidak akan ada yang kenal sama dan mereka tidak ngerti bangun negeri gimana wong kejar kuasa power and money simpul semua masalah kelindan erat,"I am about the failure of political parties to develop cadres to become executives, it is really simple, one important problem is that the influence of society is very populist, people choose popular people when choosing people who fall in love, they care about track records, what competences, what backgrounds, ""what's important is work,"" they don't understand yet, just work, said Buya Hamka, if they work, they are monkeys, what's different about monkeys, if they are in a different position, competent people work for the majority of society, they still don't understand, so they will only lull toll roads, social assistance, handovers, entering sewers, visiting like the end of the party, parties are only important, electability, survey institutions are tools to influence public opinion, the level of electability, that's why many surveys say they want to be competent, they don't care because if electability is high, the party wins, the party enjoys the reins of power, the problem of building the country, behind the party, it is no longer important to develop quality cadres and promote to the wider community, the party itself rarely goes directly to the community, that's why the public will not know each other and they don't understand how to build the country, people are chasing power, power and money, all the problems are closely intertwined"
gw pesimis deh golput mo milu presiden pimpin daerah menang sllu masalah gw kurng tuju kta pak anis bilang rakyat masalah fakta menang sllu masalah pdhl rakyat pilih arti milih masalah brbrkita lupa pilih negara tengah bawah arti rentan sogok mo ajar gimanapun pilih sisa tetap akan menang muas perut si pilih td karna negara demokrasi suara orang waras ama orang gila nilai sma sma brbrkesimpulanya tidak ada nyoblos harap pimpin bagus slagi ekonomi mayoritas rakyat indonesia msh morat marit,"I'm pessimistic, don't vote, the president will lead the region, always win, my problem is not enough, said Mr. Anis, the people are the problem, the facts are always winning, even though the people choose, the meaning of choosing, the problem, we forget to choose, the middle and lower countries, the meaning is vulnerable to bribery, we want to teach, no matter what, the rest will still win, the voters will be satisfied because in a democratic country, the votes of sane people and crazy people have the same value, the conclusion is that there is no voting, hopefully the leadership will be good while the economy of the majority of Indonesian people is still in disarray"
ini alas orang wajib sekolah kalau setinggi tinggi kita gak jadi orang plonga plongo,"This is because people have to go to school if they are as tall as we are, we don't become plonga plongo people"
kalau negara isi andal uang kuasa orang pak anies kalah segala cara jangan rakyat jelata level jabat negara jabat publik masih sangat mudah kalah uang sedikit jabat yang rela korban diri jadi jilat negeri,"If the state is filled with money and power, Mr. Anies will lose by any means, not ordinary people, at the level of state office, public office is still very easy to lose, with little money, office is willing to sacrifice itself to become the country's lick."
mohon bahasa sederhana ke inggris inggris orang kecil faham,please simple language to english english little people understand
domokrasi alam manusia interaksi ideal harmonis,"domocracy, human nature, ideal harmonious interaction"
anis amp panji,anise and panji
href yang kata si paling terima kekalahandia sendiri lebih sadis nyata,"href said that the one who accepts defeat the most, he himself is more real sadistic"
indonesia cerdas untuk punya pimpin pak aniskt suka penuh gimikdramjoget brbrmsh situ kualitas ky sbg bangsa,"Indonesia is smart to have a leader, Pak Aniskt, full of gimikdramjoget, that's the quality of KY as a nation"
negarawan luar biasasll ajar bisa ambil tiap ucap,extraordinary statesmansll teach can take every word
pak anies baik sayang bangsa belum siap,"Mr. Anies is good, unfortunately the nation is not ready yet"
saya tanya seperti jubirnya sih,I asked like a spokesperson
undang semua capres cawapres skakmat dong seru wkwkwk,"invite all presidential and vice presidential candidates to checkmate, it's fun, hahaha"
bangga baris mu pak anies,"proud of your line, Mr. Anies"
panji puas main catur,Panji is satisfied playing chess
selamat abah haji anis baswedan,Happy Hajj Anis Baswedan
apa kabar dulu juta orang demo nista agama akhir anies naik demo bela palestina gak juta orang atau dulu bela penting,"what's up, in the past millions of people demonstrated against religion, in the end Anies went up to demonstrate to defend Palestine, not millions of people or in the past defending was important"
ngomong opo,say what
kalo ngobrolnya sama pak jokowi ngaco jawab ni,"If you're talking to Mr. Jokowi, he's going to answer this stupidly"
gurih banget ketawa bang panji nunjuk mas anis rasa curang yah,"It's really delicious to laugh, bro, Panji points to Mas Anis, I think it's cheating"
democracy is only as bagus as its peoplebrbrindonesian democracy is bad cause its the people that make it bad,democracy is only as good as its peoplebrbrindonesian democracy is bad cause its the people that make it bad
orang cerdas gin kalah sama jogedjoged gemoy klo di aisenodni mana wkwkwkwk,"Intelligent people lose to joged joged gemoy, where in Aisenodni hahaha"
anies baru pertama aja udah salah langkah,Anies is just taking the wrong step at the beginning
jauh saya suka pak anis pak emilbrdari pimpin se indonesia,far i like Mr Anis Mr Emilbrdari to lead all of Indonesia
raja balik,the king is back
href tanya jawab kira sbnrnya rakyat usung abw ingin pak korban juang pak abw malah diam terima putus nol tinggal tp rusa negara rezim rusak lebih dan terus terus biar salah langkah ke yang dengan pilih wapres yang salah,"href question and answer I think actually the people support abw want the victim to fight, but instead abw is silent and accepts the decision, zero remains, but the country's regime is damaged more and more and continues to make the wrong move by choosing the wrong vice president"
undang presiden jokowi ntaran selesai jadi presiden biar ganggu sibuk beliau,Invite President Jokowi after he finishes being president to distract him from his busy schedule
href panji said,href panji said
pak anis pimpin kui,Mr. Anis leads the cafe
pak anies pernah ketemu pilih kuwu kepala desa iya brlebih greget banding pemiliha apa brpelanggaran jadi money politik nya gede,"Mr. Anies once met a village head election, yes, it was more exciting than the election, what if there were violations, so the political money was big"
posisi raja selalu ada warna petak lawan misal raja putih letak petak hitam balik,"The king's position is always the opposite color, for example the white king is the opposite black color"
masya allah pak anies merinding dengar cerita bapak soal korban tahun silam jadi yang bapak pikir pasca pilpres era bapak maju moga allah mudah jalan pak anies,"Oh my God, Mr. Anies, I got goosebumps hearing your story about the victims last year. So what do you think after the presidential election, when you are running, may God make things easy for Mr. Anies?"
bahkan prabowo anggep anies orang bagus kualitas harus bangga negara punya dosen sekaligus jiwa rakyat,"even prabowo considers anies a good quality person, we should be proud that the country has a lecturer who is also the soul of the people"
allah lindung pak anies dr curang dinasty jokowijadikan pak anies presiden sehat badan,"God protect Mr. Anies from the cheating of the Jokowi dynasty, make Mr. Anies a healthy president"
orang cerdas bincang orang cerdasasyik dan cerdas ikut,smart people talk smart people fun and smart join
keren cerdas idealis nya jaga brkok mau subscribe pangganan iya bg,"cool, intelligent, idealistic, take care of how to subscribe to the subscription, bro"
daging smua isi,meat all filling
jawab wawas literasinya sangat luas orang didik meraguakan pak anis baswedan jakarta rupa kota angka didik tinggi baling banyak banyak profesor doktor mahasiswa mahasiswi insinyur,"answer the literacy insight is very broad, students doubt Mr. Anis Baswedan, Jakarta, appearance, city, figures, education, high, many, many, professors, doctors, students, female, male, female, engineers"
saran pake jam gilir catur bang biar tau gilir siapa maju,I suggest using a chess clock so you know whose turn it is
suka nih podcast nya panjiintelekpinter keren sihdr tidak tu jd tau ilmu wawas politik,"I like this podcast, PanjiIntelekpinter, it's cool, but I don't know political insight"
alhamdulillah beliau tetap jadi oposisi,thank God he remains in the opposition
sini quotkalahquot catur siapa,Here quotlostquot chess who
moga sudah pilih jadi pimpin amanah brbrpak anis jadi pimpin semua rakyat indonesia,"Hopefully, after being chosen to lead, Mr. Anis will be able to lead all the Indonesian people."
enak banget nontonnya cerah keren,it's really nice to watch it's bright and cool
syukur warga jakarta apa bila pak anies baswedan pimpin jakarta,Jakarta residents will be grateful if Mr. Anies Baswedan leads Jakarta
layak,worthy
pak anies salah satu negarawan baik indonesia,Mr. Anies is one of Indonesia's good statesmen
tau checkmate menit berapa,know what minute checkmate
abah anis selalu hati,father anis is always kind
aniesa man with super brain for managing city,aniesa man with super brain for managing city
bagus talkshownya dimasivkan reels youtube stand up dekat bagus melek generasi,"the talk show is good, the YouTube reels are included, the stand up is good, the generation is literate"
harus tri putih kotak putih raja putih kotak hitam,must be white tri white box white king black box
thats an honor for us having you mranies,that's an honor for us having you mranies
jaman tembak tembak adalah jaman presiden dukung,the era of shooting is the era of presidential support
dia presiden sungguh nya kenapa masyarakat indonesia salah pilih presiden nya cuman ngincer makan gratis doang,He's really the president. Why did the Indonesian people make the mistake of electing a president who was just looking for free food?
raja putih hitam raja hitam putih,black white king black white king
tadi harap diskusi pake bahasa inggris but well suka sekali diskusi,I hope the discussion is in English but well I really like the discussion
pak anies,Mr. Anies
menit href situ liat watak benar capres saat kalah milu lalu tidak lihat sana,minute href there you see the true character of the presidential candidate when he lost milu then didn't see there
ne gibran dong undang penasaran nich,"This is Gibran, it makes me curious"
bagai warga negara indonesia akan pernah mau aku presiden itu milu milu paling najis panjang masa miris sangat lihat curang masih tutupin tidak ada untung jadi bangsa terus tinggal di indonesia duit kerja keras untuk cukong cukong pelihara rezim sedot terus duit kerja keras rakyat tengah bawah gausah aneh kalau generasi bangsa terus lebih pilih tinggal indonesia,"As Indonesian citizens, will I ever want to be president? It's the most filthy thing, it's a long, sad time, it's so see, cheating, still covering it up, there's no profit for the nation, continue to live in Indonesia, hard work money for the tycoons, the tycoons maintain the regime, continue to suck up the hard work money of the middle and lower classes, it's not strange if the nation's generation continues to prefer to live in Indonesia"
paling open mind,most open minded
nyala pak anies tetap konsisten tunggu jadi opsi anti dinasti,"Mr Anies's light remains consistent, waiting to become an anti-dynasty option"
tenang dalam jawab tanya wawas benerbener luas jadi jawab sampai selalu on point masuk akal sama apa panji tanyain sayang banget orang kaya beliau gak banyak milih,"be calm when answering questions, be really broad, so answer always on point, make sense and what Panji ask, it's a shame that rich people don't have many choices."
kalau semua politican pak anies semua indonesia gak maluin pemerintahhhannya,"If all politicians were Mr. Anies, all of Indonesia would not embarrass its government"
panji mau anies periode pimpin dki,Panji wants Anies to lead DKI for a period
mana tanya di sekak pikir acara oposisi lawan ckckkck,where to ask in checkmate think about the opposition event against ckckkck
temu presiden omonquot perdana menteri omonquot,president omonquot prime minister omonquot meeting
kelas mata najwagak poin sinisama ja lain,eye class najwagak points here are the same as others
tahu pak anies bukan kaleng sih,you know Mr. Anies is not just a joke
ngeri gw liat komen komen atas,I was horrified to see the comments above
bacotdoangsi,don't talk nonsense
demokrasi baik di negara teluk baltik kata finland denmark dsk ada pancasila depan demokrasi indonesia mana tuhan jadi rujuk awal semua prilaku rakyat amp negara,"democracy is good in the Baltic Gulf countries, Finland, Denmark, etc., there is Pancasila in front of Indonesian democracy, where is God, so reconciliation is the beginning of all people's behavior and the state"
href,href
cieee persen,wow percent
syarat demokrasi bebas fitnah,conditions for democracy free from slander
anies aset negara baik ini wajib juang,"Anies, this good state asset must be fought for"
paling suka jawab jawab pak anis selalu muas reel,"I like answering Mr. Anis the most, he always satisfies me with the reel"
,
beliau baru x nyapres tuduh ambisius brbrsedangkan yang x nyapres sebut pantang serah ikhlas bangsa brbrya tuhan dungu macam apa ini,"He just ran for president and was accused of being ambitious, while the one who ran for president said he never gave up sincerely, the nation, what kind of stupid god is this?"
gw ikut pusing dengerin smbil liatin papan catur hrefuckszuwhgymbdvujgwifybwafipqipvncaaua,I also get dizzy listening to it while looking at the chessboard hrefuckszuwhgymbdvujgwifybwafipqipvncaua
mahasiswa masyarakat jakarta nanti mu pak anies,Jakarta community students later you Mr. Anies
sempat pilih ganjar pranowo banding anies anda prabowo gak calon diri jadi calon presiden hilang rasa respek ganjar tolak piala dunia u suka prabowo anies saya jatuh pilih prabowo lalu saya lebih suka anies ganjar anies cerdas kalau bicara semua serah maha kuasa kemlinthi bukan tugas partai yang ketika berstatement semua serah putus partai meski anies ganjar samasama pernah beri nilai skor rendah ke pak prabowo,"Had time to vote for Ganjar Pranowo against Anies, Prabowo, you are not a candidate to be a presidential candidate, lost your respect, Gangar rejected the World Cup, u like Prabowo, Anies, I fell, voted for Prabowo, then I prefer Anies, Ganjar Anies, intelligent when talking about everything, surrendering to the almighty Kemlinthi is not the party's job when they make a statement. Everyone gave up on breaking up with the party, even though Anies Ganjar both gave Pak Prabowo a low score"
klo bnyk jegal arti pak anies emank tokcer tidak pandang bulu indonesia dah kbnykn korupsi makanya orang luar maless mo invest indo,"If there are many obstacles, it means that Mr. Anies is really good at not discriminating. Indonesia already has a lot of corruption, that's why foreigners are reluctant to invest in Indonesia."
bidak catur gak jalan jalan wkwkw,chess pieces don't move hahaha
isi daging semua,all meat filling
makin gamau aja kaesang,Kaesang is getting more and more reluctant
href moment ngakak anjirbrquotskakquotbrquotheeuhquotbrtrus panji ngelamunbrngoahahhaha,href funny moment brquotcheekquotbrquotheeuhquotbrthen panji daydreamsbrngoahahhaha
kang pandji kerenbrlebih keren kalo geraklangkah catur lihat at least tiap langkah tampil gambar catur,"Kang Pandji is cool, it's even cooler if you look at the chess steps, at least at each step a chess image appears"
bukan panji dinasti iya stand up wah bicara dinasti sendiri aja bangun dinasti stand up,not the banner of the dynasty yes stand up wow talking about dynasty itself build a stand up dynasty
ridwan kamil ngawur,Ridwan Kamil is being ridiculous
politik dynasti sama masyarakat iya apa apa jugabrtapi mukidi anak siapa ayam sayur sama tokek buntung aja,"dynastic politics and society, yes, whatever, but whose child's fate is, vegetable chickens and geckos are just stumps"
